Bananas, Each	0.59/lb	about 0.25 lbs	1.43 lb	0.84
Wegmans McIntosh Apples, Bagged, FAMILY PACK	9.19	128 oz bag	1	9.19
Wegmans Frozen Raspberries	5.19	12 oz bag	3	15.57
Wegmans Dark Brown Sugar	1.79	32 oz	2	3.58
Wegmans Greek plain Whole Milk Yogurt	5.19	32 oz	1	5.19
Wegmans Sour Cream, FAMILY PACK	5.59	48 oz	1	5.59
Wegmans Cage Free Large Eggs, 18 count	6.79	36 oz	2	10.00
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	4	11.96
Wegmans Organic Baby Spinach, FAMILY PACK	5.19	11 oz container	1	5.19
Halls Cough Drops, Honey Lemon Flavor, Economy Pack	4.59	80 x 8.7 oz	1	4.59
Wegmans Italian Classics Fresh Mozzarella Cheese	11.49	32 oz	1	11.49
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	2	9.18
Wegmans Salted Sweet Cream Butter Quarters	4.59	1 lb	1	4.59
Wegmans Cream Cheese, Bar, Original	1.99	8 oz	4	7.96
Wegmans Medium Shells Pasta	1.19	16 oz	6	7.14
Wegmans Bagged Clementines	5.19	2 lb Bag	1	5.19
