Wegmans Broccoli Crowns	2.29/lb	about 0.5 lbs	1.77 lb	4.05
Barilla Rotini, Classic	2.09	1 lb	2	4.18
Wegmans Peanut Butter Filled Pretzel Nuggets	5.79	24 oz	6	34.74
Wegmans Strong & Soft Bath Tissue, 30 Rolls, FAMILY PACK	22.99	1400 sq ft	1	22.99
Bananas, Each	0.59/lb	about 0.25 lbs	4.02 lb	2.37
Wegmans Frozen Petite Sweet Peas	2.59	16 oz	3	7.77
Wegmans Frozen Microwaveable Edamame	2.89	12 oz	2	5.78
Original Cheerios Cereal, Large Size	4.59	12 oz	4	17.36
Wegmans Gala Apples, Bagged	3.49	48 oz bag	1	3.49
Wegmans Frozen Raspberries	5.79	12 oz bag	1	5.79
Wegmans Just Almonds Just Almonds Stir Crunchy Almond Butter	8.69	16 oz	2	17.38
Pastene Pepper Strips, Double Roasted	4.09	16 oz	2	8.18
Wegmans Seedless Raisins, FAMILY PACK	10.99	48 oz	1	10.99
