Wegmans Cleaned & Cut Microwavable Trimmed Green Beans	3.49	12 oz bag	1	3.49
Wegmans Broccoli Crowns	2.29/lb	about 0.5 lbs	0.68 lb	1.56
Wheat Chex Wheat Cereal, Oven Toasted	4.99	396.9 g	3	13.97
Wegmans Milk, Vitamin D, Whole	2.99	1 gal	2	5.98
Wegmans Gordita Style Fajita Tortillas, 8 Inch, 16 Count, FAMILY PACK	3.49	30.5 oz	2	6.98
Wegmans Sliced Pepperoni, Italian Style	3.49	6 oz	1	3.49
Wegmans Ruby Red Grapefruit, FAMILY PACK	8.09	5 lb	1	8.09
Wegmans Heavy Cream	6.89	32 fl oz	1	6.89
Wegmans Baking Powder	2.59	8.1 oz	4	10.36
Bananas, Each	0.59/lb	about 0.25 lbs	2.45 lb	1.45
Wegmans Grape Tomatoes, FAMILY PACK	4.59	1 qt	1	4.59
Wegmans Frozen Mango Chunks	3.79	16 oz	2	7.58
Wegmans Chocolate Ice Cream	4.09	48 fl oz	1	4.09
Oreo Chocolate Sandwich Cookies, Milk's Favorite Cookie	4.59	14.3 oz	1	4.59
Raspberries	4.59	6 oz container	1	4.59
Organic Italian Parsley	2.29	1 lb bunch	1	2.29
